,Loneliness,Composite Warmth Index
1,1.7,-0.3733392051
2,1.8,-0.1274520219
3,1.7,0.3858023754
4,2.1,-0.3733392051
5,1,0.1833048735
6,2.1,0.3858023754
7,1.2,0.7063487361
8,2.5,0.0652560146
9,1,0.0652560146
10,3.7,-0.0527928443
11,2.2,-0.5758367069
12,1.4,-0.8119344248
13,1,0.0652560146
14,1.5,0.0652560146
15,1.4,-0.8865936023
16,1.3,0.1833048735
17,1.7,0.2579640511
18,1.4,0.0652560146
19,2.7,0.6965592708
20,2.2,0.0652560146
21,1.2,0.0652560146
22,2.1,0.8243975951
23,1.6,0.3858023754
24,3.6666666667,-1.1539608163
25,3,0.0652560146
26,2,0.3858023754
27,1.2,0.3858023754
28,1.1,-0.2455008808
29,2.3,-0.5660472416
30,1.3,-0.1274520219
31,2.8,-0.3733392051
32,1.6,-0.0527928443
33,2.4,0.5038512343
34,1.8,0.2677535164
35,2.3,0.3111431978
36,2.4,0.0652560146
37,1.4,-0.2552903462
38,2.1,-0.9299832838
39,1.9,0.0652560146
40,2.3,0.4604615529
41,1.3,0.0652560146
42,2.1,0.5038512343
43,2.2,0.2677535164
44,1.2,0.0652560146
45,2.2,-0.0527928443
46,1.2,0.0652560146
47,1.5,-0.4479983826
48,1.9,-0.6938855659
49,2.6666666667,-0.0527928443
50,1.1,0.0652560146
51,2.9,0.3858023754
52,2,-1.1324807856
53,2.7,-0.1274520219
54,2.3,-0.1274520219
55,1.1,0.0652560146
56,2.2,-0.3733392051
57,2.5,0.3858023754
58,1.1,0.3858023754
59,1.7,-0.0527928443
60,2,0.0652560146
61,1.2,0.7063487361
62,2.2,0.3858023754
63,1.4,-0.5758367069
64,2,-0.6938855659
65,2.3,0.8243975951
66,2.2,0.5038512343
67,1,0.3858023754
68,2.8,0.3111431978
69,2.8,1.0268950969
70,2,0.0652560146
71,3.3,0.3858023754
72,1.3,-0.2552903462
73,2.1,-0.4479983826
74,1.3,-0.3733392051
75,2,0.0652560146
76,1.1,0.7063487361
77,2.7,-1.6457351828
78,2,0.0652560146
79,2.2,0.5038512343
80,1,-0.0527928443
81,1.6,-0.1274520219
82,1.8,0.0652560146
83,1.8,-0.7685447434
84,1.1,-0.2552903462
85,1.8,0.0652560146
86,1,0.0652560146
87,2.3,-1.2071399631
88,3,0.8243975951
89,1.6,-0.1274520219
90,3.3,-0.3733392051
91,2,0.0652560146
92,1.3,0.8243975951
93,1.5,0.7063487361
94,2,-0.2552903462
95,3,1.0268950969
96,2,0.0652560146
97,2.4,0.0652560146
98,1.3,1.2196031333
99,1.4,0.7063487361
100,1.3,-0.2552903462
101,3.2,-0.2455008808
102,2.4,0.1711846882
103,2.6,-0.4479983826
104,1.9,-0.0527928443
105,2.1,0.5038512343
106,1.7,0.5038512343
107,2.4,-0.1806311686
108,2.5,-0.3733392051
109,2,-0.2552903462
110,1.2,0.3111431978
111,1.5,0.3858023754
112,2.8,-0.3733392051
113,2.1,-1.1324807856
114,2,-0.0094031629
115,2.5,0.3858023754
116,2.2,0.7063487361
117,2.3,-0.758755278
118,2.8,0.5038512343
119,2.4,-0.1274520219
120,2.7,0.8990567726
121,1.8,-0.4479983826
122,2.5,-0.6407064191
123,2.3,0.7063487361
124,3,-0.3733392051
125,1.2,-0.5226575602
126,2.5,-0.2552903462
127,1.2222222222,-0.0527928443
128,2.2,1.1449439558
129,1.2,0.0652560146
130,1.1,1.0268950969
131,1,1.5401494941
132,3.5,-0.2552903462
133,1.7,-0.2552903462
134,2,0.3858023754
135,2,0.0652560146
136,2.1,-1.7203943603
137,1.1,0.1833048735
138,1.4,0.0652560146
139,2,0.7063487361
140,3.7,-0.2552903462
141,1.3,-0.5758367069
142,3,0.2677535164
143,1.9,0.5038512343
144,2.1,-0.7685447434
145,2.1,-0.3733392051
146,2.4,0.0652560146
147,3.8,-1.2071399631
148,2.2,-0.6938855659
149,2.4,-0.8865936023
150,2,0.0652560146
151,2,-0.2455008808
152,1,0.3858023754
153,2.9,-0.0527928443
154,1,-0.3733392051
155,3.5,0.2579640511
156,3.1111111111,-0.0296666287
157,2.6,0.8990567726
158,1.4,-0.0527928443
159,1.4,0.3858023754
160,1.5,0.3111431978
161,2,0.5038512343
162,2.5,-0.1274520219
163,1.6,0.8243975951
164,2,-0.7685447434
165,1.1,-0.2552903462
166,2.3,-0.7685447434
167,1,0.8243975951
168,3,-0.2552903462
169,1.8,-0.0527928443
170,1.7,-0.1274520219
171,2.2,0.0652560146
172,1.8,-0.6407064191
173,1.1,-0.2552903462
174,2.1,-0.2552903462
175,1.1,-0.6938855659
176,2.1,-0.0527928443
177,2.1,0.0652560146
178,1.5,0.0003863024
179,2.9,-1.7203943603
180,2.9,-0.0094031629
181,3.1,0.7063487361
182,1.6,-0.1274520219
183,3.1,0.3858023754
184,2,-0.6938855659
185,2.9,-0.0527928443
186,2.7,0.3858023754
187,2.1,-0.3733392051
188,1.8,0.0652560146
189,1.5,0.8990567726
190,1,-0.0527928443
191,1.6,1.0268950969
192,2,-0.4479983826
193,1.2,-0.2552903462
194,2.2,0.0652560146
195,1.8,0.0652560146
196,2.1,-0.8119344248
197,1.7,-0.0527928443
