Testes Size,Caregiving
-0.834661,83.9589
0.450199,75.4756
1.49602,73.6118
2.01892,60.5013
1.73008,57.6735
1.73506,55.5527
1.69522,52.2751
1.5757,48.9974
1.68028,46.8766
0.614542,42.9563
-0.834661,40.964
-0.974104,47.9692
-1.77092,58.8946
-1.9502,70.0129
-1.27789,72.0694
-0.615538,75.9897
0.50996,71.0411
0.933267,68.2134
1.4761,58.9589
0.988048,47.9692
0.883466,49.126
-0.10757,47.0051
-0.535857,47.9049
-0.555777,51.1825
-1.48207,59.9229
-1.48705,65.0643
-1.28287,69.1131
-0.73008,71.0411
-0.640438,73.0334
0.435259,66.8638
0.948207,61.9152
0.888446,52.018
-0.321713,55.874
-0.361554,57.8663
-0.570717,60.437
-1.0488,61.8509
-1.03884,66.928
-0.650398,67.0566
-0.441235,67.1208
-0.361554,66.0283
-0.212151,66.0283
-0.197211,66.3496
-0.0727092,66.0283
0.171315,65.7712
0.5249,62.108
0.828685,60.8869
0.250996,57.9306
0.265936,61.9152
0.141434,61.9794
0.0418327,63.9075
-0.247012,62.8792
-0.391434,62.8792
-0.710159,63.5861
-0.705179,64.036
